company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Emerging Growth,0.7978566821030951
ADANIENSOL,0,Emerging Growth,1.3562453230221827
ADANIENT,0,Emerging Growth,1.10662453456237
ADANIGREEN,4,Defensive Dividend Payers,2.546955659110123
ADANIPORTS,1,Value Cyclicals,1.1639542923994213
ADANIPOWER,0,Emerging Growth,1.367885078301828
AMBUJACEM,0,Emerging Growth,1.0469272333339168
APOLLOHOSP,0,Emerging Growth,0.8534736198399873
ASIANPAINT,0,Emerging Growth,0.289418383477108
ATGL,0,Emerging Growth,1.321044338253128
AXISBANK,4,Defensive Dividend Payers,0.8566691824488619
BAJAJ-AUTO,0,Emerging Growth,0.5303783877258117
BAJAJFINSV,4,Defensive Dividend Payers,1.0629957607333729
BAJAJHLDNG,1,Value Cyclicals,2.4644899816068886
BAJFINANCE,4,Defensive Dividend Payers,1.6039185475745348
BANKBARODA,4,Defensive Dividend Payers,1.6773331235405116
BEL,2,High-Quality Compounders,1.104093585061339
BHARTIARTL,1,Value Cyclicals,1.2833308891845838
BHEL,0,Emerging Growth,2.3066107838463763
BOSCHLTD,0,Emerging Growth,0.9742429650740156
BPCL,0,Emerging Growth,0.6556761960366915
BRITANNIA,0,Emerging Growth,0.514277325962083
CANBK,4,Defensive Dividend Payers,2.604891302961999
CHOLAFIN,4,Defensive Dividend Payers,0.8075325974117706
CIPLA,1,Value Cyclicals,0.9969675148547232
COALINDIA,1,Value Cyclicals,1.1940164535261728
DABUR,0,Emerging Growth,0.5942804704018328
DIVISLAB,0,Emerging Growth,0.5641575829018582
DLF,0,Emerging Growth,2.5981696247636314
DMART,0,Emerging Growth,1.2998425280861539
DRREDDY,0,Emerging Growth,1.0676101661536985
EICHERMOT,0,Emerging Growth,1.0071828279324297
GAIL,3,Distressed or Turnaround,1.1428538777896666
GODREJCP,0,Emerging Growth,0.7271897489914738
GRASIM,0,Emerging Growth,0.33072129866615646
HAL,2,High-Quality Compounders,1.104093585061339
HAVELLS,0,Emerging Growth,0.4406088626279115
HCLTECH,0,Emerging Growth,2.153601381059578
HDFCBANK,4,Defensive Dividend Payers,0.6601957784268407
HDFCLIFE,1,Value Cyclicals,1.2904430587372269
HEROMOTOCO,1,Value Cyclicals,1.6601233614265933
HINDALCO,1,Value Cyclicals,0.6073758540193289
HINDUNILVR,1,Value Cyclicals,0.7436234185721486
ICICIBANK,4,Defensive Dividend Payers,0.8304535627681713
ICICIGI,1,Value Cyclicals,1.7296807148727171
ICICIPRULI,1,Value Cyclicals,0.9835235432808179
INDIGO,1,Value Cyclicals,1.7702207677465298
INDUSINDBK,4,Defensive Dividend Payers,0.7038184315335025
INFY,0,Emerging Growth,0.35890956923604406
IOC,0,Emerging Growth,1.9117122237850261
IRCTC,0,Emerging Growth,1.0687955736456272
IRFC,4,Defensive Dividend Payers,1.9259033411314885
ITC,0,Emerging Growth,0.9203515674317754
JINDALSTEL,0,Emerging Growth,1.3971527750915733
JIOFIN,1,Value Cyclicals,0.8365328466160226
JSWENERGY,0,Emerging Growth,1.4754196899230358
JSWSTEEL,0,Emerging Growth,0.5817240630672371
KOTAKBANK,1,Value Cyclicals,1.3938021814833463
LICI,0,Emerging Growth,1.5840835479995525
LODHA,0,Emerging Growth,2.2741821963986104
LT,0,Emerging Growth,0.34180790922995624
LTIM,0,Emerging Growth,2.5744547722440387
M&M,0,Emerging Growth,0.8633824561158928
MARUTI,0,Emerging Growth,0.3679784317807613
MOTHERSON,0,Emerging Growth,1.0510614930533115
NAUKRI,0,Emerging Growth,0.9002580981797188
NESTLEIND,0,Emerging Growth,0.5100575033895859
NHPC,3,Distressed or Turnaround,1.142853877789667
NTPC,0,Emerging Growth,0.6086458024909084
ONGC,0,Emerging Growth,0.7421873537043817
PFC,4,Defensive Dividend Payers,1.286737246420498
PIDILITIND,0,Emerging Growth,0.4779771035693239
PNB,0,Emerging Growth,1.4804227467469038
POWERGRID,1,Value Cyclicals,1.1797867740186667
RECLTD,1,Value Cyclicals,2.0642245264937125
RELIANCE,0,Emerging Growth,0.37708551637911664
SBILIFE,0,Emerging Growth,1.9363374262604343
SBIN,0,Emerging Growth,1.798636141932279
SHREECEM,0,Emerging Growth,0.29913307607190864
SHRIRAMFIN,4,Defensive Dividend Payers,1.4340311495703375
SIEMENS,0,Emerging Growth,0.47526984105330705
SUNPHARMA,0,Emerging Growth,0.5910442953233738
TATACONSUM,0,Emerging Growth,1.5511694304341708
TATAMOTORS,0,Emerging Growth,0.6072985756953921
TATAPOWER,0,Emerging Growth,0.850283687395752
TATASTEEL,0,Emerging Growth,0.6604810602341042
TCS,0,Emerging Growth,0.3957497834960563
TECHM,0,Emerging Growth,0.6508057393097771
TITAN,0,Emerging Growth,1.3577406885113663
TORNTPHARM,0,Emerging Growth,0.8166134802112764
TRENT,0,Emerging Growth,3.38312251197319
TVSMOTOR,0,Emerging Growth,1.1849176651042945
