company_id,previous_year,current_year,previous_pattern,current_pattern
ADANIENSOL,2023,2024,Mixed,Shareholder Returns
ADANIENT,2023,2024,Shareholder Returns,Mixed
ADANIGREEN,2023,2024,Reinvestor,Mixed
AXISBANK,2023,2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,2023,2024,Liquidating Assets,Reinvestor
BANKBARODA,2023,2024,Pre-Revenue,Growth Funded by Debt
BEL,2023,2024,Liquidating Assets,Shareholder Returns
BRITANNIA,2023,2024,Shareholder Returns,Liquidating Assets
CANBK,2023,2024,Growth Funded by Debt,Shareholder Returns
DLF,2023,2024,Shareholder Returns,Mixed
GAIL,2023,2024,Mixed,Reinvestor
GODREJCP,2023,2024,Shareholder Returns,Mixed
HAVELLS,2023,2024,Liquidating Assets,Shareholder Returns
HDFCBANK,2023,2024,Mixed,Liquidating Assets
HDFCLIFE,2023,2024,Mixed,Shareholder Returns
ICICIBANK,2023,2024,Growth Funded by Debt,Mixed
ICICIPRULI,2023,2024,Shareholder Returns,Mixed
INDUSINDBK,2023,2024,Growth Funded by Debt,Pre-Revenue
IRCTC,2023,2024,Shareholder Returns,Reinvestor
IRFC,2023,2024,Distress Signal,Reinvestor
ITC,2023,2024,Reinvestor,Liquidating Assets
JINDALSTEL,2023,2024,Reinvestor,Mixed
JIOFIN,2023,2024,Reinvestor,Mixed
KOTAKBANK,2023,2024,Growth Funded by Debt,Mixed
LODHA,2023,2024,Liquidating Assets,Mixed
LT,2023,2024,Shareholder Returns,Liquidating Assets
LTIM,2023,2024,Reinvestor,Shareholder Returns
MOTHERSON,2023,2024,Shareholder Returns,Mixed
PNB,2023,2024,Mixed,Growth Funded by Debt
RELIANCE,2023,2024,Mixed,Shareholder Returns
SBIN,2023,2024,Growth Funded by Debt,Shareholder Returns
SHRIRAMFIN,2023,2024,Distress Signal,Growth Funded by Debt
SUNPHARMA,2023,2024,Mixed,Shareholder Returns
TATACONSUM,2023,2024,Shareholder Returns,Mixed
TATAPOWER,2023,2024,Mixed,Shareholder Returns
TITAN,2023,2024,Mixed,Reinvestor
TORNTPHARM,2023,2024,Mixed,Shareholder Returns
