metric,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,8.39,11.73,16.83,25.93,47.97,122.74,633.73
roce_percentage,6.63,9.98,16.5,26.74,40.0,22.46,23.5
operating_profit_margin_pct,9.75,15.7,25.38,39.35,84.01,34.29,27.6
net_profit_margin_pct,4.62,7.25,14.21,20.35,29.25,20.02,45.18
debt_to_equity,0.01,0.06,0.43,1.59,6.45,1.67,2.86
interest_coverage,1.6,3.04,11.3,57.97,190.5,124.76,483.44
asset_turnover,0.07,0.21,0.68,1.13,1.66,3.5,15.85
revenue_cagr_5yr,5.84,8.44,11.84,17.18,21.09,12.95,7.38
pat_cagr_5yr,3.04,9.28,16.13,23.75,38.62,20.02,21.84
fcf_cagr_5yr,-26.84,-3.27,7.02,22.69,60.45,17.46,51.52
